 Date = 2010.000     Altitude =   565.000 km      geodetic  

      Lat     Long       D       I       H       X       Y       Z       F
  -80.000   70.000  -86.02  -73.57   11871     825  -11843  -40266   41979
  -80.000   75.000  -91.00  -74.15   11601    -202  -11599  -40864   42479
  -80.000   80.000  -96.11  -74.74   11312   -1204  -11247  -41457   42973
  -80.000   85.000 -101.36  -75.33   11005   -2168  -10789  -42040   43456
  -80.000   90.000 -106.78  -75.92   10685   -3085  -10230  -42605   43925
  -80.000   95.000 -112.38  -76.51   10354   -3942   -9574  -43148   44373
  -80.000  100.000 -118.18  -77.08   10018   -4731   -8830  -43663   44797
  -80.000  105.000 -124.21  -77.63    9681   -5443   -8007  -44145   45194
  -80.000  110.000 -130.48  -78.16    9351   -6070   -7113  -44589   45559
  -80.000  115.000 -137.01  -78.65    9034   -6608   -6160  -44991   45889
  -80.000  120.000 -143.81  -79.10    8736   -7050   -5159  -45349   46183
  -80.000  125.000 -150.87  -79.50    8466   -7396   -4121  -45660   46438
  -80.000  130.000 -158.19  -79.84    8231   -7642   -3058  -45921   46653
  -80.000  135.000 -165.74  -80.12    8036   -7788   -1980  -46132   46826
  -80.000  140.000 -173.46  -80.33    7889   -7837    -899  -46291   46959
  -80.000  145.000  178.71  -80.47    7792   -7790     175  -46400   47050
  -80.000  150.000  170.85  -80.53    7750   -7651    1233  -46457   47099
  -80.000  155.000  163.03  -80.52    7761   -7423    2265  -46465   47109
  -80.000  160.000  155.35  -80.43    7826   -7112    3264  -46425   47079
  -80.000  165.000  147.86  -80.28    7940   -6723    4224  -46337   47012
  -80.000  170.000  140.63  -80.06    8099   -6261    5137  -46204   46909
  -80.000  175.000  133.70  -79.78    8297   -5732    5999  -46029   46770
  -80.000  180.000  127.07  -79.45    8530   -5142    6806  -45812   46599
  -80.000  185.000  120.77  -79.08    8790   -4496    7553  -45557   46397
  -80.000  190.000  114.77  -78.67    9071   -3801    8237  -45266   46166
  -80.000  195.000  109.07  -78.22    9370   -3061    8856  -44941   45907
  -80.000  200.000  103.63  -77.75    9679   -2282    9406  -44585   45623
  -80.000  205.000   98.45  -77.26    9996   -1469    9887  -44200   45316
  -80.000  210.000   93.48  -76.74   10315    -627   10296  -43788   44987
  -80.000  215.000   88.71  -76.22   10634     239   10631  -43353   44638
  -80.000  220.000   84.11  -75.68   10948    1123   10891  -42897   44272
  -80.000  225.000   79.66  -75.14   11256    2020   11073  -42422   43890
  -80.000  230.000   75.34  -74.59   11554    2925   11178  -41933   43495
  -80.000  235.000   71.12  -74.05   11840    3832   11203  -41431   43090
  -80.000  240.000   66.99  -73.51   12112    4735   11149  -40921   42676
  -80.000  245.000   62.94  -72.98   12368    5627   11014  -40405   42256
  -80.000  250.000   58.95  -72.46   12607    6503   10800  -39888   41832
  -80.000  255.000   55.01  -71.96   12826    7355   10507  -39372   41409
  -80.000  260.000   51.11  -71.47   13025    8178   10138  -38863   40987
  -80.000  265.000   47.25  -71.01   13204    8963    9695  -38363   40571
  -80.000  270.000   43.41  -70.57   13361    9705    9183  -37876   40163
  -80.000  275.000   39.60  -70.16   13497   10399    8604  -37405   39766
  -80.000  280.000   35.82  -69.78   13612   11038    7966  -36955   39382
  -80.000  285.000   32.04  -69.43   13708   11620    7272  -36528   39015
  -80.000  290.000   28.28  -69.12   13784   12139    6531  -36127   38668
  -80.000  295.000   24.53  -68.84   13843   12593    5748  -35755   38341
