 Date = 2008.000     Altitude =   565.000 km      geodetic  

      Lat     Long       D       I       H       X       Y       Z       F
  -85.000    0.000  -27.58  -71.07   12946   11474   -5995  -37756   39914
  -85.000    5.000  -32.01  -71.18   12904   10942   -6840  -37855   39994
  -85.000   10.000  -36.47  -71.30   12856   10338   -7642  -37977   40094
  -85.000   15.000  -40.96  -71.44   12801    9666   -8392  -38121   40212
  -85.000   20.000  -45.50  -71.60   12739    8929   -9085  -38286   40349
  -85.000   25.000  -50.07  -71.77   12669    8132   -9715  -38471   40503
  -85.000   30.000  -54.69  -71.97   12592    7279  -10275  -38675   40674
  -85.000   35.000  -59.35  -72.17   12508    6376  -10760  -38897   40859
  -85.000   40.000  -64.06  -72.40   12415    5431  -11165  -39135   41057
  -85.000   45.000  -68.83  -72.64   12315    4448  -11484  -39388   41268
  -85.000   50.000  -73.64  -72.89   12208    3438  -11714  -39652   41489
  -85.000   55.000  -78.52  -73.15   12093    2406  -11851  -39927   41718
  -85.000   60.000  -83.46  -73.42   11971    1363  -11893  -40209   41953
  -85.000   65.000  -88.47  -73.70   11842     317  -11838  -40497   42193
  -85.000   70.000  -93.54  -73.98   11708    -723  -11686  -40788   42435
  -85.000   75.000  -98.68  -74.27   11569   -1746  -11436  -41079   42677
  -85.000   80.000 -103.90  -74.56   11426   -2745  -11091  -41368   42917
  -85.000   85.000 -109.19  -74.85   11281   -3709  -10653  -41652   43153
  -85.000   90.000 -114.57  -75.13   11134   -4629  -10126  -41930   43383
  -85.000   95.000 -120.02  -75.40   10988   -5497   -9514  -42197   43604
  -85.000  100.000 -125.56  -75.67   10844   -6306   -8822  -42453   43816
  -85.000  105.000 -131.17  -75.93   10704   -7046   -8057  -42695   44016
  -85.000  110.000 -136.87  -76.17   10570   -7713   -7226  -42920   44203
  -85.000  115.000 -142.64  -76.39   10443   -8300   -6338  -43128   44374
  -85.000  120.000 -148.48  -76.59   10327   -8803   -5399  -43316   44530
  -85.000  125.000 -154.38  -76.77   10222   -9217   -4419  -43482   44668
  -85.000  130.000 -160.34  -76.93   10130   -9540   -3408  -43627   44788
  -85.000  135.000 -166.35  -77.06   10054   -9770   -2373  -43748   44889
  -85.000  140.000 -172.38  -77.16    9993   -9905   -1324  -43845   44970
  -85.000  145.000 -178.44  -77.23    9950   -9946    -271  -43918   45031
  -85.000  150.000  175.50  -77.28    9925   -9894     779  -43966   45072
  -85.000  155.000  169.45  -77.29    9918   -9750    1816  -43989   45093
  -85.000  160.000  163.43  -77.28    9929   -9517    2832  -43987   45094
  -85.000  165.000  157.45  -77.24    9959   -9197    3820  -43960   45074
  -85.000  170.000  151.52  -77.16   10006   -8795    4771  -43910   45036
  -85.000  175.000  145.66  -77.06   10069   -8314    5681  -43836   44978
