 Date = 2014.000     Altitude =   565.000 km      geodetic  

      Lat     Long       D       I       H       X       Y       Z       F
  -85.000    0.000  -28.18  -70.94   12940   11406   -6111  -37460   39632
  -85.000    5.000  -32.62  -71.05   12900   10865   -6954  -37563   39717
  -85.000   10.000  -37.09  -71.17   12853   10253   -7752  -37690   39821
  -85.000   15.000  -41.60  -71.31   12800    9572   -8498  -37838   39944
  -85.000   20.000  -46.15  -71.47   12740    8826   -9187  -38007   40086
  -85.000   25.000  -50.73  -71.65   12672    8020   -9811  -38197   40244
  -85.000   30.000  -55.36  -71.84   12596    7159  -10364  -38406   40419
  -85.000   35.000  -60.04  -72.05   12514    6249  -10842  -38633   40609
  -85.000   40.000  -64.77  -72.28   12423    5296  -11238  -38875   40812
  -85.000   45.000  -69.55  -72.52   12325    4307  -11548  -39131   41026
  -85.000   50.000  -74.38  -72.77   12219    3290  -11768  -39399   41251
  -85.000   55.000  -79.27  -73.03   12106    2254  -11894  -39677   41483
  -85.000   60.000  -84.22  -73.31   11985    1206  -11925  -39963   41722
  -85.000   65.000  -89.24  -73.59   11859     157  -11858  -40254   41964
  -85.000   70.000  -94.33  -73.87   11726    -885  -11693  -40547   42208
  -85.000   75.000  -99.48  -74.16   11589   -1910  -11431  -40840   42452
  -85.000   80.000 -104.71  -74.45   11448   -2908  -11073  -41131   42694
  -85.000   85.000 -110.02  -74.73   11305   -3870  -10621  -41416   42931
  -85.000   90.000 -115.40  -75.02   11160   -4788  -10081  -41694   43162
  -85.000   95.000 -120.87  -75.29   11016   -5652   -9456  -41962   43384
  -85.000  100.000 -126.41  -75.56   10874   -6455   -8751  -42217   43595
  -85.000  105.000 -132.03  -75.81   10737   -7189   -7975  -42458   43794
  -85.000  110.000 -137.73  -76.05   10605   -7848   -7133  -42681   43979
  -85.000  115.000 -143.51  -76.27   10481   -8426   -6233  -42887   44149
  -85.000  120.000 -149.35  -76.47   10368   -8919   -5285  -43072   44303
  -85.000  125.000 -155.26  -76.64   10265   -9323   -4297  -43236   44438
  -85.000  130.000 -161.21  -76.80   10176   -9634   -3277  -43377   44555
  -85.000  135.000 -167.21  -76.92   10102   -9852   -2236  -43495   44653
  -85.000  140.000 -173.24  -77.02   10044   -9975   -1182  -43588   44730
  -85.000  145.000 -179.29  -77.09   10003  -10003    -125  -43656   44788
  -85.000  150.000  174.67  -77.14    9980   -9937     928  -43699   44824
  -85.000  155.000  168.63  -77.15    9975   -9779    1966  -43717   44841
  -85.000  160.000  162.63  -77.13    9988   -9532    2982  -43710   44837
  -85.000  165.000  156.66  -77.08   10019   -9199    3969  -43678   44813
  -85.000  170.000  150.75  -77.01   10066   -8783    4918  -43623   44769
  -85.000  175.000  144.91  -76.90   10130   -8289    5823  -43543   44706
  -85.000  180.000  139.15  -76.77   10209   -7722    6678  -43441   44625
  -85.000  185.000  133.47  -76.62   10302   -7087    7477  -43318   44526
  -85.000  190.000  127.87  -76.45   10407   -6389    8215  -43174   44410
  -85.000  195.000  122.37  -76.25   10523   -5635    8887  -43010   44279
  -85.000  200.000  116.97  -76.04   10648   -4829    9489  -42829   44133
  -85.000  205.000  111.66  -75.81   10779   -3979   10018  -42631   43973
  -85.000  210.000  106.45  -75.57   10917   -3091   10470  -42419   43801
  -85.000  215.000  101.33  -75.31   11058   -2172   10843  -42192   43617
  -85.000  220.000   96.29  -75.05   11202   -1228   11134  -41954   43424
  -85.000  225.000   91.34  -74.78   11346    -266   11343  -41706   43222
  -85.000  230.000   86.47  -74.51   11490     707   11468  -41449   43012
  -85.000  235.000   81.67  -74.23   11632    1685   11509  -41186   42797
  -85.000  240.000   76.94  -73.95   11771    2659   11466  -40918   42578
  -85.000  245.000   72.27  -73.68   11905    3625   11340  -40648   42355
